geoid,month,evictions
4013111800,2023-07,5
4013111800,2023-08,7
4013111800,2023-09,7
4013111800,2023-10,3
4013111800,2023-11,3
4013111800,2023-12,4
4013111800,2024-01,12
4013111800,2024-02,6
4013111800,2024-03,6
4013111800,2024-04,11
4013111800,2024-05,15
4013111800,2024-06,5
4013111800,2024-07,6
4013111800,2024-08,8
4013111800,2024-09,4
4013111800,2024-10,5
4013111800,2024-11,7
4013111800,2024-12,5
4013111900,2022-01,1
4013111900,2022-12,1
4013111900,2023-01,1
4013111900,2023-04,1
4013111900,2023-07,1
4013111900,2023-09,1
4013111900,2023-10,1
4013111900,2023-12,1
4013111900,2024-04,1
4013111900,2024-06,1
4013111900,2024-08,1
4013111900,2024-09,1
4013111900,2024-11,1
4013112100,2022-01,1
4013112100,2022-02,3
4013112100,2022-03,1
4013112100,2022-06,4
4013112100,2022-10,1
4013112100,2023-02,1
4013112100,2023-05,2
4013112100,2023-07,1
4013112100,2023-08,1
4013112100,2023-10,2
4013112100,2024-01,1
4013112100,2024-03,1
4013112100,2024-04,1
4013112100,2024-06,1
4013112100,2024-08,2
4013112100,2024-10,2
4013112100,2024-11,1
4013112100,2024-12,1
4013112201,2022-01,3
4013112201,2022-03,1
4013112201,2022-04,2
4013112201,2022-05,3
4013112201,2022-06,2
4013112201,2022-08,1
4013112201,2022-09,3
4013112201,2022-10,1
4013112201,2022-11,2
4013112201,2023-01,2
4013112201,2023-02,2
4013112201,2023-03,3
4013112201,2023-04,2
4013112201,2023-06,2
4013112201,2023-07,1
4013112201,2023-08,2
4013112201,2023-10,1
4013112201,2023-12,1
4013112201,2024-01,2
4013112201,2024-02,4
4013112201,2024-06,1
4013112201,2024-07,1
4013112201,2024-08,2
4013112201,2024-10,2
4013112201,2024-12,2
4013112202,2022-01,2
4013112202,2022-02,1
4013112202,2022-03,6
4013112202,2022-04,1
4013112202,2022-05,2
4013112202,2022-06,4
4013112202,2022-07,3
4013112202,2022-08,7
4013112202,2022-09,3
4013112202,2022-10,4
4013112202,2022-11,1
4013112202,2022-12,2
4013112202,2023-01,1
4013112202,2023-02,2
4013112202,2023-03,2
4013112202,2023-04,3
4013112202,2023-05,2
4013112202,2023-06,1
4013112202,2023-07,3
4013112202,2023-08,4
4013112202,2023-09,2
4013112202,2023-11,4
4013112202,2023-12,1
4013112202,2024-01,6
4013112202,2024-02,2
4013112202,2024-04,3
4013112202,2024-06,1
4013112202,2024-07,2
4013112202,2024-08,2
4013112202,2024-09,1
4013112202,2024-10,2
4013112202,2024-12,4
4013112301,2022-01,17
4013112301,2022-02,3
4013112301,2022-03,7
4013112301,2022-04,8
4013112301,2022-05,9
4013112301,2022-06,15
4013112301,2022-07,14
4013112301,2022-08,19
4013112301,2022-09,8
4013112301,2022-10,11
4013112301,2022-11,7
4013112301,2022-12,18
4013112301,2023-01,8
4013112301,2023-02,18
4013112301,2023-03,6
4013112301,2023-04,24
4013112301,2023-05,21
4013112301,2023-06,10
4013112301,2023-07,21
4013112301,2023-08,20
4013112301,2023-09,26
